date,ticker,mid,marketid,comment
9/12/2011,TEST1,123.45,TEST1,none
9/9/2011,TEST1,124.6845,TEST1,up1
9/8/2011,TEST1,119.69712,TEST1,down 4
9/7/2011,TEST1,120.8940912,TEST1,up 1
9/6/2011,TEST1,117.2672685,TEST1,down 3
9/5/2011,TEST1,124.3033046,TEST1,up 6
9/2/2011,TEST1,123.0602715,TEST1,down 1
9/1/2011,TEST1,120.5990661,TEST1,down 2
8/31/2011,TEST1,121.8050568,TEST1,up 1
8/30/2011,TEST1,123.0231073,TEST1,up 1
8/29/2011,TEST1,124.2533384,TEST1,NA
8/28/2011,TEST1,125.4958718,TEST1,NA
8/27/2011,TEST1,126.7508305,TEST1,NA
8/26/2011,TEST1,128.0183388,TEST1,NA
8/25/2011,TEST1,129.2985222,TEST1,NA
8/24/2011,TEST1,130.5915074,TEST1,NA
8/23/2011,TEST1,131.8974225,TEST1,NA
8/22/2011,TEST1,127.9404998,TEST1,NA
8/21/2011,TEST1,124.1022848,TEST1,NA
8/20/2011,TEST1,124.2533384,TEST1,NA
8/19/2011,TEST1,125.4958718,TEST1,NA
8/18/2011,TEST1,126.7508305,TEST1,NA
8/17/2011,TEST1,128.0183388,TEST1,NA
8/16/2011,TEST1,129.2985222,TEST1,NA
8/15/2011,TEST1,130.5915074,TEST1,NA
8/14/2011,TEST1,126.6737622,TEST1,NA
8/13/2011,TEST1,122.8735493,TEST1,NA
8/12/2011,TEST1,124.1022848,TEST1,NA
8/11/2011,TEST1,125.3433076,TEST1,NA
8/10/2011,TEST1,126.5967407,TEST1,NA
8/9/2011,TEST1,127.8627081,TEST1,NA
8/8/2011,TEST1,129.1413352,TEST1,NA
8/7/2011,TEST1,130.4327486,TEST1,NA
8/6/2011,TEST1,126.5197661,TEST1,NA
8/5/2011,TEST1,122.7241731,TEST1,NA
8/4/2011,TEST1,122.8735493,TEST1,NA
8/3/2011,TEST1,124.1022848,TEST1,NA
8/2/2011,TEST1,125.3433076,TEST1,NA
8/1/2011,TEST1,126.5967407,TEST1,NA
7/31/2011,TEST1,127.8627081,TEST1,NA
7/30/2011,TEST1,129.1413352,TEST1,NA
7/29/2011,TEST1,125.2670952,TEST1,NA
7/28/2011,TEST1,121.5090823,TEST1,NA
7/27/2011,TEST1,122.7241731,TEST1,NA
7/26/2011,TEST1,123.9514149,TEST1,NA
7/25/2011,TEST1,125.190929,TEST1,NA
7/24/2011,TEST1,126.4428383,TEST1,NA
7/23/2011,TEST1,127.7072667,TEST1,NA
7/22/2011,TEST1,128.9843393,TEST1,NA
7/21/2011,TEST1,125.1148092,TEST1,NA
7/20/2011,TEST1,121.3613649,TEST1,NA
7/19/2011,TEST1,121.5090823,TEST1,NA
7/18/2011,TEST1,122.7241731,TEST1,NA
7/17/2011,TEST1,123.9514149,TEST1,NA
7/16/2011,TEST1,125.190929,TEST1,NA
7/15/2011,TEST1,126.4428383,TEST1,NA
7/14/2011,TEST1,127.7072667,TEST1,NA
7/13/2011,TEST1,123.8760487,TEST1,NA
7/12/2011,TEST1,120.1597672,TEST1,NA
7/11/2011,TEST1,121.3613649,TEST1,NA
7/10/2011,TEST1,122.5749785,TEST1,NA
7/9/2011,TEST1,123.8007283,TEST1,NA
7/8/2011,TEST1,125.0387356,TEST1,NA
7/7/2011,TEST1,126.289123,TEST1,NA
7/6/2011,TEST1,127.5520142,TEST1,NA
7/5/2011,TEST1,123.7254538,TEST1,NA
7/4/2011,TEST1,120.0136901,TEST1,NA
7/3/2011,TEST1,120.1597672,TEST1,NA
7/2/2011,TEST1,121.3613649,TEST1,NA
7/1/2011,TEST1,122.5749785,TEST1,NA
6/30/2011,TEST1,123.8007283,TEST1,NA
6/29/2011,TEST1,125.0387356,TEST1,NA
6/28/2011,TEST1,126.289123,TEST1,NA
6/27/2011,TEST1,122.5004493,TEST1,NA
6/26/2011,TEST1,118.8254358,TEST1,NA
6/25/2011,TEST1,120.0136901,TEST1,NA
6/24/2011,TEST1,121.2138271,TEST1,NA
6/23/2011,TEST1,122.4259653,TEST1,NA
6/22/2011,TEST1,123.650225,TEST1,NA
6/21/2011,TEST1,124.8867272,TEST1,NA
6/20/2011,TEST1,126.1355945,TEST1,NA
6/19/2011,TEST1,122.3515267,TEST1,NA
6/18/2011,TEST1,118.6809809,TEST1,NA
6/17/2011,TEST1,118.8254358,TEST1,NA
6/16/2011,TEST1,120.0136901,TEST1,NA
6/15/2011,TEST1,121.2138271,TEST1,NA
6/14/2011,TEST1,122.4259653,TEST1,NA
6/13/2011,TEST1,123.650225,TEST1,NA
6/12/2011,TEST1,124.8867272,TEST1,NA
6/11/2011,TEST1,121.1401254,TEST1,NA
6/10/2011,TEST1,117.5059216,TEST1,NA
6/9/2011,TEST1,118.6809809,TEST1,NA
6/8/2011,TEST1,119.8677907,TEST1,NA
6/7/2011,TEST1,121.0664686,TEST1,NA
6/6/2011,TEST1,122.2771333,TEST1,NA
6/5/2011,TEST1,123.4999046,TEST1,NA
6/4/2011,TEST1,124.7349036,TEST1,NA
6/3/2011,TEST1,120.9928565,TEST1,NA
6/2/2011,TEST1,117.3630708,TEST1,NA
6/1/2011,TEST1,117.5059216,TEST1,NA
5/31/2011,TEST1,118.6809809,TEST1,NA
5/30/2011,TEST1,119.8677907,TEST1,NA
5/29/2011,TEST1,121.0664686,TEST1,NA
5/28/2011,TEST1,122.2771333,TEST1,NA
5/27/2011,TEST1,123.4999046,TEST1,NA
5/26/2011,TEST1,119.7949075,TEST1,NA
5/25/2011,TEST1,116.2010602,TEST1,NA
5/24/2011,TEST1,117.3630708,TEST1,NA
5/23/2011,TEST1,118.5367015,TEST1,NA
5/22/2011,TEST1,119.7220686,TEST1,NA
5/21/2011,TEST1,120.9192892,TEST1,NA
5/20/2011,TEST1,122.1284821,TEST1,NA
5/19/2011,TEST1,123.349767,TEST1,NA
5/18/2011,TEST1,119.649274,TEST1,NA
5/17/2011,TEST1,116.0597957,TEST1,NA
5/16/2011,TEST1,116.2010602,TEST1,NA
5/15/2011,TEST1,117.3630708,TEST1,NA
5/14/2011,TEST1,118.5367015,TEST1,NA
5/13/2011,TEST1,119.7220686,TEST1,NA
